label,type,P,Ti,Y,Hf,Th,U,La,Ce,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu
1,S,1317.999999,9.30000001,2529.999999,11070,90.1,371.0000003,0.104,3.359999997,1.549999999,4.429999998,0.5,33.5,14.33999999,198.5,79.79999994,406.9999998,84.89999995,767.0000001,154.0000001
1,S,154.7447733,7.495922988,400.8504209,12673.45949,144.9778857,214.0355461,0.100427987,12.79176726,0.648758711,1.203596524,0.386189897,6.367751341,2.181943683,30.53682892,12.46736973,65.05153007,17.6287084,210.8394987,34.71748456
1,S,1126.000001,14.10000001,2368,11930.00001,81.86999993,451.3000005,0.098,2.839000003,1.589999999,4.19,0.29,30.49999998,13.58,203.7,81.99999993,415.7000005,94.99999994,859.0000003,155.7999999
1,S,372.0000001,43.80000005,1594,7349.999999,85.09999998,175.0000001,0.096,4.340000005,4.469999999,8.060000004,0.929999999,43.99999995,13.67000001,153.9000001,54.99999994,248.0000001,47.60000003,402.9999999,80.90000007
1,S,200.3395745,3.175322531,2011.716903,12520.948,421.1086923,1245.599912,0.095012494,11.49762924,1.520712375,4.715952922,0.072692361,36.39374711,14.02876147,185.7356419,71.73505738,331.44802,68.5429661,594.5258425,108.3269835
1,S,1982.723806,3.623190342,4014.953484,12174.38605,94.11945203,712.0901624,0.092253751,2.049595038,1.158159004,4.276948088,0.255187002,37.73175137,18.74636834,300.0047597,128.7932466,694.5083203,156.5406321,1477.966819,279.3588145
1,S,869.8454298,5.484206523,1653.053293,11437.02064,79.13189025,467.7305845,0.08905866,1.745912679,1.231095526,2.772092686,0.249834495,22.69099196,9.525696494,133.1296444,54.76696784,284.4997047,62.69968919,598.6912143,113.6347061
1,S,624.9999995,4.010000004,1271.000001,12040,115.7999999,344.9999999,0.089,5.15,0.719999999,2.08,0.155,16.80000001,7.159999995,100.8999999,41.00000003,208.9999999,43.29999996,399.0000003,81.50000005
1,S,238,30.10000003,609.0000005,7120.000006,37.20000001,63.09999996,0.088,3.12,2.000000002,4.139999999,1.04,19.89999998,5.720000003,63.80000004,20.59999998,85.00000006,16.29999998,135.9999999,23.8
1,S,176.2,7.199999993,605.9999998,10900,171.9000001,242.5,0.088,13.76999999,1.09,2.059999998,0.74,10.08,3.330000004,47.40000004,18.16999999,99.00000009,23.84999998,245.2000001,55.90000001
1,S,1791.000001,4.700000001,3649.999996,11239.99999,98.80000009,575.9999994,0.084,1.620000002,1.879999999,5.440000004,0.093,47.89999995,21.25999999,302,120.9999999,601,123.1,1096,210.9999999
1,S,1184.999999,4.35,2203.999999,11745,65.80000006,520.9999996,0.075,2.509999997,0.930000001,2.740000001,0.345,22.00000001,11.19000001,180.2000001,76.10000004,407.9999999,99.19999996,951.0000001,175.6000002
1,S,1095,8.700000008,2314.999998,9800.000007,117.9999999,256.9999998,0.074,4.560000004,3.130000003,5.510000002,0.580000001,42.40000004,15.56000001,199.4,76.79999999,366.9999998,72.50000007,619,117.7
1,S,1933.05257,7.036359966,3962.844635,11710.55758,99.64742855,506.5129996,0.071700091,2.454247956,1.722310844,5.252902175,0.323346465,41.99803634,20.08809123,309.6331065,126.2848905,653.5054247,137.2861775,1280.979436,221.5971206
1,S,763.8954742,4.351083893,1671.828768,10505.41134,147.7689465,365.4606422,0.070804553,11.90884301,1.1599212,4.147028939,0.663540432,27.09011115,10.50275846,142.0743187,56.19958816,280.2526346,62.61619798,584.5428558,113.3708934
1,S,1033.000001,6.900000004,2330,10350,148.9999999,276,0.069,5.370000004,2.249999999,5.849999999,0.659999999,41.99999996,15.51000001,203.9999998,78.10000002,385.0000004,76.70000001,677.0000005,135.9999999
1,S,931.8412231,5.527708745,1663.83435,11597.60251,54.87047376,390.2991532,0.068603445,0.836917149,1.080889139,2.660870851,0.112226283,20.9360181,9.560909757,134.2344445,54.22353198,286.7507484,62.03448784,579.7636093,111.1712761
1,S,1136.531013,7.042448617,2195.306306,12508.6562,85.3200136,309.0379733,0.067109908,4.795272613,0.977340253,3.250298115,0.359744512,27.52446213,12.12128975,177.4639864,72.86005588,369.6016957,80.2352642,716.5003997,132.1942569
1,S,1410.000001,12.99999999,2330,9550.000009,56.50000002,332.0000002,0.066,1.849999998,3.659999997,8.299999993,0.197,53.70000004,17.2,206.9999998,76.49999997,351.9999996,69.19999993,599.9999995,116.8000001
1,S,839.0000003,7.299999998,1900,11439.99999,142.1,308.9999997,0.066,9.900000009,1.319999999,3.880000004,0.55,31.60000003,12.23,158.9999999,61.30000007,300.0000002,59.69999998,519.0000002,101.0000001
