label,setting,Ti,Y,Hf,Th,U,La,Ce,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu
1,oceanic,17.27000002,7779.560006,7796.149992,832.7499993,671.8399995,0.1,156.6399998,13.36,31.76000002,10.07916519,287.4599998,92.68999997,968.5799997,343.1,1346.500001,239.5399999,1744.989998,268.6800002
0,continental,11.6918703,2094.999999,7500.999992,89.00000007,128.9999999,0.081,8.999999991,4.740000004,10.82000001,2.993593253,85.99999995,25.18999997,269.9999999,89.99999991,376.0000001,71.99999993,525.9999998,85.00000006
0,continental,6.583020962,575.4796754,10853.84767,95.61484316,253.0633215,0.397767698,18.63349147,0.577007703,0.927500394,0.474925156,7.669672965,2.725442569,38.00447154,18.63332929,95.98378239,25.57692453,258.2511791,55.10105612
1,oceanic,8.199999993,1580,7619.999994,33.70000001,85.40000006,0.0654,4.229999996,3.199999998,5.160000004,1.44982238,10,4.840000004,82.90000009,35.29999997,188.9999999,49.59999994,516.0000004,128.9999999
1,oceanic,15.11999999,1094.189999,9295.049994,26.64999998,54.98000006,0.05,6.01,0.86,2.289999998,0.800301954,25.99000003,9.720000002,116.1900001,46.96999998,217.81,45.82000002,377.8800003,70.02999994
0,continental,9.599999999,1483,10580.00001,699.0000004,866.999999,0.512,90.99999993,2.200000001,5.400000002,3.814772642,43.99999995,14.29999998,153.0000001,59.00000005,281.9999998,62.99999993,556.0000005,110
0,continental,12.07,1166.869999,8120.110009,100.8100001,178.3399999,0.07,11.18000001,3.139999999,4.999999996,3.955115453,35.15999997,11.42,122.9900001,45.40000001,200.8400001,47.20000004,400.7400001,81.17000001
0,continental,17.78000001,782.7499995,8803.730004,33.16000001,78.96000006,0.03,14.02000001,0.77,1.769999999,1.125062165,17.48999998,5.790000004,69.85999995,29.35000003,137.61,30.38999999,261.2000002,48.97
0,continental,13.69,2378.549999,9017.79001,308.7499998,535.3400005,0.14,42.68000002,8.310000004,14.83,11.58698045,95.40000007,27.89999998,270.0599998,92.44000004,387.2200003,79.52999992,668.7699999,122.6899999
1,oceanic,12.6,1283.46,8475.359992,33.70000001,77.40999992,0.01,9.179999996,1.33,4.019999999,1.577406748,35.5,13.44000001,145.9600001,54.44000006,222.8599999,42.68000002,321.9700003,52.80999994
