label,Category,Ti,Y,Hf,Th,U,La,Ce,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu
0,Continental arc,18.46,2794.81,8494.01,166.28,188.31,0.06,34.03,4.34,12.12,5.54,97.47,31.19,315.61,116.13,472.96,91.24,690.25,119.55
0,Continental arc,18.67,2367.67,8351.49,130.69,156.18,0.06,29.3,3.94,9.74,4.94,84.34,26.4,261.58,97.14,392.43,74.67,581.78,101.53
0,Continental arc,3.72,1015.96,11738.78,87.53,377.97,0.05,14.57,0.91,2.5,1.4,23.68,8.29,94.45,38.41,181.13,41.31,372.85,74.15
0,Continental arc,5.16,989.64,12063.06,48.1,355.3,0.05,12.83,0.3,1.43,0.74,18.97,7.38,97.16,35.98,169.61,39.74,347.14,66.87
0,Continental arc,6.15,1316.3,12387.34,105.88,621.28,0.05,23.53,0.54,1.82,1,22.78,9.39,113.04,48.01,248.51,57.61,523.54,106.94
0,Continental arc,6.54,1464.52,12827.41,254.2,790.33,0.05,30.24,0.67,2.73,1.26,31.91,11.68,137.22,55.74,244.8,53.33,457.58,87.96
0,Continental arc,8.95,1662.8,11144.3,132.71,358.97,0.05,28.74,0.93,3.05,1.51,37.2,13.91,161.98,64.28,276.15,55.31,451.87,82.01
0,Continental arc,10.06,3139.69,10754.08,399.96,690.87,0.05,59.93,5.23,15.05,7.65,121.2,36.69,359.16,123.92,502.58,97.44,782.29,138.98
0,Continental arc,10.17,2134.96,9162.97,270.39,411.94,0.05,21.38,3.58,6.54,4.16,53.89,18.64,198.47,76.49,332.87,70.69,592.12,114.35
0,Continental arc,11.13,944.71,10738.05,31.56,51.19,0.05,7.87,0.75,2.15,0.83,23.1,8.68,96.02,37.79,172.93,36.33,288,54.87
0,Continental arc,14.82,1765.6,8602.72,89.79,144.7,0.05,20.13,3.37,6.86,3.71,54.78,17.59,175.85,70.01,298.31,62.81,511.15,94.73
0,Continental arc,15,864.93,7450.66,34.89,70.22,0.05,7.54,1.48,2.99,1.89,23.43,7.83,87.14,34.66,156.71,34.39,296.02,58.27
0,Continental arc,15.35,1854.74,8278.35,96.42,152.81,0.05,19.01,3.35,7.45,4.33,58.64,18.92,199.88,74.17,320.55,68.26,571.87,105.56
0,Continental arc,16.63,2109.52,8670.95,113.99,149.15,0.05,24.62,3.76,8.06,3.86,70.16,22.23,227.8,88.13,355.82,67.97,526.51,93
0,Continental arc,17.4,2118.6,8105.32,120.15,163.68,0.05,20.73,4.11,8.71,5.15,68.96,22.26,228.66,82.02,364.09,76.92,629.36,114.43
0,Continental arc,17.5,1981.72,8369.69,106.84,136.76,0.05,22.65,3.42,7.48,3.72,67.78,21.83,197.38,77.84,344.03,68.85,516.56,87.96
0,Continental arc,17.83,1788.85,8635.55,93.14,125.56,0.05,20.14,3.31,6.8,3.48,60.01,19.36,201.03,73.92,305.53,60.68,469.53,84.1
0,Continental arc,5.2,1249,11176,268,384,0.05,51,3.1,5.78,2.53,36,11.6,119,46,213,49,432,86
0,Continental arc,6.9,919,11444,1607,1318,0.047,105,1.7,4.51,2.277,32,8.5,87,33,145,32,280,57
0,Continental arc,3.43,1353.87,11077,277,408,0.046,38.16,1.22,3.01,1.04,24.98,9.35,109.97,48.53,234.51,56.1,506.43,101.76
0,Continental arc,8.2,341,9004,56,116,0.046,19,0.3,0.9,0.426,6,2,23,11,53,13,127,28
0,Continental arc,2.89,574.21,11756,103,242,0.042,18.28,0.23,0.68,0.31,8.77,3.39,46.34,21.07,119.13,29.39,284.14,59.15
0,Continental arc,5.67,5063.21,8932,3217,2922,0.041,167.97,4.85,10.29,3.84,92.42,34.89,421.89,187.15,980.3,231.38,2173.82,420.53
0,Continental arc,3.63,642.01,12775,113,242,0.041,24.36,0.21,0.99,0.37,8.68,4.01,41.03,23.83,125.86,32.28,321.63,66.22
0,Continental arc,3.04,2614.52,9397,503,598,0.041,94.4,3.45,8.54,3.03,57.62,20.04,244.83,95.24,437.02,95.56,880.72,162.64
0,Continental arc,7.08,1377.63,8572,196,260,0.04,28.5,1.17,2.79,1.58,28.94,10.67,127.04,56,280.41,64.12,593.8,119.38
0,Continental arc,3.73,740.55,12035.04,40.72,346.95,0.04,8.72,0.29,1.12,0.61,13.58,4.91,63.08,26.42,134.54,31.93,296.85,61.13
0,Continental arc,3.99,786,12243.5,57.36,422.21,0.04,13.28,0.23,1.11,0.54,14.68,5.31,61.01,27.83,130,29.34,270.8,54.25
0,Continental arc,4.82,691.98,12941.04,58.57,272.9,0.04,13.38,0.36,1.29,0.84,13.73,5.45,64.02,26.86,130.2,31.54,292.29,60.29
0,Continental arc,5.75,924.34,10679.44,105.92,147.91,0.04,14.5,0.88,2.66,0.53,25.92,8.57,104.87,36.56,162.32,33.5,265.9,45.2
0,Continental arc,5.9,619.06,10738.05,42.03,172.46,0.04,8.84,0.45,1.34,0.84,13.56,4.67,51.76,21.7,99.88,24.09,229.05,47.82
0,Continental arc,7.09,1349.34,12115.55,87.6,555.32,0.04,22.21,0.63,2,1.09,22.5,9.36,90.81,48.58,230.45,54.18,505.19,98.54
0,Continental arc,7.65,1166.26,10311.71,78.33,252.61,0.04,17.14,0.6,1.83,1.03,23.35,8.88,103.03,43.14,197.23,41.11,356.83,69.01
0,Continental arc,8.42,1278.44,10635.32,176,376.82,0.04,19.76,0.68,2.25,1.38,30.08,11.05,112.22,47.57,218.22,45.9,388.35,71.98
0,Continental arc,10.87,1628.23,13100.55,226.92,492.2,0.04,15.4,2.35,5.97,0.65,48.76,16.72,174.21,65.35,277.73,53.03,402.41,67.38
